size,algorithm,time_ms
100,bubble,0.308433
100,shaker,0.475167
100,quick,0.0560667
100,std,0.0513
200,bubble,1.432
200,shaker,1.41883
200,quick,0.105433
200,std,0.0717
500,bubble,7.81777
500,shaker,6.89837
500,quick,0.267267
500,std,0.205567
1000,bubble,29.2111
1000,shaker,27.7486
1000,quick,0.623567
1000,std,0.484267
2000,bubble,127.277
2000,shaker,122.745
2000,quick,1.35453
2000,std,1.03893
5000,bubble,798.615
5000,shaker,691.13
5000,quick,3.63243
5000,std,2.92927
10000,bubble,2974.11
10000,shaker,2772.66
10000,quick,7.6968
10000,std,6.4061
20000,bubble,12261.8
20000,shaker,11956.3
20000,quick,17.6955
20000,std,14.4069
50000,bubble,79862.7
50000,shaker,73533.2
50000,quick,51.686
50000,std,42.3887
100000,quick,125.248
100000,std,98.0704
